id_aluno,sexo,idade,tipo_de_cota,coeficiente,naturalidade_op,total_reprovacao_nota,total_reprovacao_falta,target_evasao
1,M,47,AC,5.6,0,0,0,0
2,F,21,AC,0.0,0,0,0,0
3,F,19,LB_PPI,6.0,0,0,0,0
4,M,29,LB_EP,0.0,0,0,0,0
5,M,20,LB_PPI,0.0,0,0,0,0
6,M,19,AC,0.0,0,0,0,0
7,F,20,LB_EP,0.0,0,0,0,0
8,F,19,LI_PPI,0.0,0,0,0,0
9,M,23,LI_EP,0.0,0,0,0,0
10,M,20,LI_EP,0.0,0,0,0,0
11,F,19,AC,0.0,0,0,0,0
12,M,28,LI_PPI,0.0,0,0,0,0
13,M,21,LI_EP,0.0,0,0,0,0
14,M,23,AC,0.0,0,0,0,0
15,M,19,AC,0.0,0,0,0,0
16,M,21,AC,0.0,0,0,0,0
17,M,20,LB_EP,0.0,0,0,0,0
18,F,20,LB_EP,0.0,0,0,0,0
19,M,22,LB_EP,0.0,0,0,0,0
20,M,23,LB_PPI,0.0,0,0,0,0
21,M,20,LB_PPI,0.0,0,0,0,0
22,M,20,LB_PPI,0.0,0,0,0,0
23,M,22,AC,0.0,0,0,0,0
24,M,19,AC,0.0,0,0,0,0
25,M,19,AC,0.0,0,0,0,0
26,M,21,AC,0.0,0,0,0,0
27,M,20,AC,0.0,0,0,0,0
28,M,22,AC,0.0,0,0,0,0
29,M,20,AC,0.0,0,0,0,0
30,M,23,AC,0.0,0,0,0,0
31,M,20,AC,0.0,0,0,0,0
32,M,21,AC,0.0,0,0,0,0
33,M,20,LI_PPI,0.0,0,0,0,0
34,M,20,LI_PPI,0.0,0,0,0,0
35,M,20,LI_PPI,0.0,0,0,0,0
36,M,20,LI_PPI,0.0,0,0,0,0
37,M,21,AC,0.0,0,0,0,0
38,M,20,AC,0.0,0,0,0,0
39,F,20,AC,0.0,0,0,0,0
40,M,19,AC,0.0,0,0,0,0
41,M,22,AC,0.0,0,0,0,0
42,F,21,LB_EP,7.2,0,0,0,0
43,F,21,LB_PPI,5.7,0,0,0,0
44,F,23,LB_PPI,6.0,0,0,0,0
45,F,25,LB_PPI,7.5,0,0,0,0
46,M,20,LB_PPI,6.2,0,0,0,0
47,M,20,LB_PPI,5.4,1,0,0,0
48,M,19,LB_PPI,5.8,0,0,0,0
49,F,20,LB_PPI,6.1,0,0,0,0
50,M,31,LB_PPI,4.9,0,0,0,0
51,F,24,LB_EP,0.0,0,0,0,1
52,F,21,LI_PPI,6.4,0,0,0,0
53,M,19,AC,9.0,0,0,0,0
54,M,20,AC,7.3,0,0,0,0
55,M,21,AC,8.4,0,0,0,0
56,M,19,AC,8.5,0,0,0,0
57,M,19,AC,7.9,0,0,0,0
58,M,20,AC,8.4,0,0,0,0
59,M,20,AC,8.7,0,0,0,0
60,M,23,AC,8.1,0,0,0,0
61,M,21,AC,8.3,0,0,0,0
62,F,19,AC,8.5,0,0,0,0
63,M,21,AC,7.5,0,0,0,0
64,M,19,AC,7.7,0,0,0,0
65,M,20,AC,6.6,0,0,0,0
66,M,20,AC,8.5,0,0,0,0
67,M,20,AC,7.6,0,0,0,0
68,M,22,AC,8.3,0,0,0,0
69,M,20,AC,4.3,0,0,0,0
70,M,19,LI_EP,4.7,0,0,0,0
71,M,20,LI_EP,7.0,0,0,0,0
72,M,19,LI_PPI,7.8,0,0,0,0
73,F,21,LI_PPI,7.5,0,0,0,0
74,M,20,LI_PPI,2.5,0,0,0,1
75,M,23,LI_EP,0.1,0,0,0,1
76,M,20,LI_PPI,7.8,0,0,0,0
77,M,20,LI_PPI,8.6,0,0,0,0
78,M,31,AC,7.6,0,0,0,0
79,M,20,LB_PPI,1.3,0,0,0,1
80,M,22,L2,4.6,0,0,0,0
81,M,21,L2,3.1,0,0,0,1
82,M,21,L2,6.5,0,0,0,0
83,M,22,L2,4.5,0,0,0,0
84,F,21,L1,3.7,0,0,0,0
85,M,20,L1,8.5,0,0,0,0
86,M,23,LI_PPI,5.0,0,0,0,0
87,F,24,LI_PPI,4.6,0,0,0,0
88,M,23,LI_PPI,5.9,0,0,0,0
89,M,20,AC,5.3,0,0,0,0
90,M,23,LI_PPI,6.1,0,0,0,0
91,F,20,AC,8.4,0,0,0,0
92,M,46,AC,8.7,0,0,0,0
93,M,43,AC,8.2,0,0,0,0
94,M,47,AC,8.0,0,0,0,0
95,M,49,AC,5.3,0,0,0,0
96,M,43,AC,7.0,0,0,0,0
97,M,42,AC,9.0,0,0,0,0
98,M,44,AC,5.4,0,0,0,0
99,M,46,AC,8.5,0,0,0,0
100,M,43,AC,8.0,1,0,0,0
101,M,46,AC,6.1,0,0,0,0
102,M,46,AC,5.5,0,0,0,0
103,M,43,AC,8.6,0,0,0,0
104,M,42,AC,8.5,0,0,0,0
105,M,44,AC,7.6,0,0,0,0
106,M,43,AC,8.5,0,0,0,0
107,M,45,AC,6.8,0,0,0,0
108,M,42,AC,9.1,0,0,0,0
109,M,43,AC,8.1,0,0,0,0
110,F,43,AC,8.5,0,0,0,0
111,M,43,AC,7.7,0,0,0,0
112,F,47,AC,8.8,0,0,0,0
113,M,44,AC,9.0,0,0,0,0
114,M,46,AC,9.6,0,0,0,0
115,M,44,AC,8.0,0,0,0,0
116,M,44,AC,7.9,0,0,0,0
117,M,43,AC,8.0,0,0,0,0
118,M,51,AC,6.7,0,0,0,0
119,F,43,AC,9.2,0,0,0,0
120,M,46,AC,7.3,0,0,0,0
121,M,45,AC,6.1,0,0,0,0
122,M,50,AC,4.2,0,0,0,0
123,M,46,AC,6.9,0,0,0,0
124,F,50,AC,5.3,0,0,0,0
125,M,47,AC,5.8,1,0,0,0
126,M,46,AC,6.1,0,0,0,0
127,F,45,AC,7.0,0,0,0,0
128,F,45,AC,7.1,0,0,0,0
129,M,46,AC,6.9,0,0,0,0
130,M,72,AC,7.0,0,0,0,0
131,M,45,AC,8.3,0,0,0,0
132,F,44,AC,7.5,0,0,0,0
133,M,50,AC,5.4,0,0,0,0
134,M,47,AC,6.3,0,0,0,0
135,M,46,AC,8.5,0,0,0,0
136,M,45,AC,7.8,0,0,0,0
137,M,45,AC,7.1,0,0,0,0
138,M,44,AC,6.5,0,0,0,0
139,M,46,AC,7.8,0,0,0,0
140,M,48,AC,7.1,0,0,0,0
141,M,45,AC,8.2,0,0,0,0
142,M,47,AC,8.4,0,0,0,0
143,M,46,AC,7.6,0,0,0,0
144,M,45,AC,8.2,0,0,0,0
145,F,45,AC,7.4,0,0,0,0
146,F,46,AC,7.6,1,0,0,0
147,M,44,AC,7.8,0,0,0,0
148,F,46,AC,6.2,0,0,0,0
149,M,47,AC,6.9,0,0,0,0
150,M,47,AC,7.2,0,0,0,0
151,M,47,AC,6.8,0,0,0,0
152,M,46,AC,6.6,0,0,0,0
153,M,45,AC,7.6,0,0,0,0
154,M,42,AC,8.8,0,0,0,0
155,M,41,AC,7.8,0,0,0,0
156,F,43,AC,8.5,0,0,0,0
157,M,42,AC,7.9,0,0,0,0
158,M,43,AC,8.0,0,0,0,0
159,M,41,AC,8.9,0,0,0,0
160,M,45,AC,7.4,0,0,0,0
161,M,45,AC,6.9,0,0,0,0
162,M,42,AC,7.9,0,0,0,0
163,F,41,AC,7.3,0,0,0,0
164,F,42,AC,7.8,0,0,0,0
165,F,43,AC,8.5,0,0,0,0
166,M,47,AC,7.1,0,0,0,0
167,M,46,AC,9.5,0,0,0,0
168,M,21,L6,6.3,0,0,0,0
169,M,21,AC,0.0,0,0,0,1
170,M,22,AC,0.0,0,0,0,1
171,M,20,AC,7.0,0,0,0,0
172,M,20,AC,0.1,0,0,0,1
173,M,21,L6,6.7,0,0,0,0
174,M,22,L6,6.4,0,0,0,0
175,M,21,L6,5.0,0,0,0,0
176,F,22,L5,8.8,0,0,0,0
177,M,22,L5,8.1,0,0,0,0
178,M,21,AC,8.2,0,0,0,0
179,M,21,AC,6.9,0,0,0,0
180,M,20,AC,8.6,0,0,0,0
181,M,21,AC,7.6,0,0,0,0
182,M,26,AC,8.4,0,0,0,0
183,M,20,AC,8.6,0,0,0,0
184,M,20,AC,8.0,0,0,0,0
185,M,20,AC,8.8,0,0,0,0
186,F,23,AC,6.8,0,0,0,0
187,M,21,AC,5.1,0,0,0,0
188,M,21,L6,7.3,0,0,0,0
189,M,20,L5,8.0,0,0,0,0
190,M,20,AC,7.6,0,0,0,0
191,M,20,AC,7.8,0,0,0,0
192,M,21,AC,7.5,0,0,0,0
193,M,21,AC,8.4,0,0,0,0
194,M,24,LB_PCD,5.9,0,0,0,0
195,F,27,LB_PPI,4.5,0,0,0,1
196,M,22,LB_Q,5.8,0,0,0,0
197,M,21,LB_PPI,5.9,0,0,0,0
198,M,23,LB_PPI,4.5,0,0,0,0
199,M,24,LI_PCD,8.1,0,0,0,0
200,F,21,LB_EP,8.1,0,0,0,0
201,M,22,LB_EP,8.0,0,0,0,0
202,M,21,LB_PPI,0.1,0,0,0,1
203,F,21,LB_PPI,5.1,0,0,0,0
204,M,22,LB_PPI,5.9,0,0,0,0
205,M,23,LB_PPI,7.9,0,0,0,0
206,M,24,AC,7.6,0,0,0,0
207,M,20,LI_PPI,8.7,0,0,0,0
208,M,21,LI_PPI,6.6,0,0,0,0
209,M,21,LI_PPI,7.4,0,0,0,0
210,F,22,LI_EP,5.7,0,0,0,1
211,M,20,LI_EP,9.0,0,0,0,0
212,M,26,AC,6.3,0,0,0,0
213,M,23,AC,4.5,0,0,0,0
214,F,20,AC,4.8,0,0,0,1
215,M,22,AC,3.4,0,0,0,0
216,M,22,AC,0.0,0,0,0,1
217,M,21,AC,7.7,0,0,0,1
218,M,21,LI_EP,8.2,0,0,0,0
219,M,21,AC,7.1,0,0,0,0
220,M,21,AC,7.9,0,0,0,0
221,M,41,AC,8.1,0,0,0,0
222,M,21,AC,5.5,0,0,0,0
223,M,25,AC,7.8,0,0,0,0
224,M,21,AC,8.5,0,0,0,0
225,F,20,AC,7.3,0,0,0,0
226,F,21,AC,7.6,0,0,0,0
227,M,21,AC,8.1,0,0,0,0
228,M,21,AC,8.8,0,0,0,0
229,M,24,AC,7.3,0,0,0,0
230,M,28,AC,8.9,0,0,0,0
231,M,21,AC,7.0,0,0,0,1
232,M,20,LI_PPI,6.0,0,0,0,0
233,M,21,LI_PPI,7.7,0,0,0,0
234,M,20,LI_PPI,6.2,1,0,0,0
235,M,44,AC,7.1,0,0,0,0
236,F,21,LI_PPI,3.6,0,0,0,1
237,M,21,AC,7.0,0,0,0,0
238,M,42,AC,5.8,0,0,0,0
239,M,40,AC,7.2,0,0,0,0
240,M,40,AC,8.0,0,0,0,0
241,M,38,AC,8.8,0,0,0,0
242,M,38,AC,8.6,1,0,0,0
243,M,41,AC,9.0,0,0,0,0
244,M,42,AC,8.6,0,0,0,0
245,M,43,AC,8.7,0,0,0,0
246,M,41,AC,8.9,1,0,0,0
247,M,22,L2,1.2,0,0,0,1
248,F,22,L1,7.3,0,0,0,0
249,F,27,L1,7.2,0,0,0,0
250,M,21,L2,6.4,0,0,0,0
251,F,22,L1,3.6,0,0,0,0
252,M,22,AC,0.1,0,0,0,1
253,M,25,L6,4.6,0,0,0,0
